2021-10-10 14:41:43 INFO  UiTest:38 - Site opened
2021-10-10 14:41:46 INFO  UiTest:43 - Initialization completed
2021-10-10 14:41:56 INFO  UiTest:89 - playlist Мой плейлист № 4 deleted
2021-10-10 14:42:00 INFO  UiTest:91 - Assertion testDeletePlayList passed
2021-10-10 14:42:01 INFO  UiTest:65 - Play List is found
2021-10-10 14:42:10 INFO  UiTest:67 - composition is added
2021-10-10 14:42:10 INFO  UiTest:69 - Assertion testAddCompositionToPlayList passed
2021-10-10 14:42:11 INFO  UiTest:65 - Play List is found
2021-10-10 14:42:20 INFO  UiTest:67 - composition is added
2021-10-10 14:42:21 INFO  UiTest:69 - Assertion testAddCompositionToPlayList passed
2021-10-10 14:42:21 INFO  UiTest:65 - Play List is found
2021-10-10 14:42:31 INFO  UiTest:67 - composition is added
2021-10-10 14:42:31 INFO  UiTest:69 - Assertion testAddCompositionToPlayList passed
2021-10-10 14:42:32 INFO  UiTest:77 - Play List is found
2021-10-10 14:42:34 INFO  UiTest:79 - composition All That She Wants is deleted
2021-10-10 14:42:42 INFO  UiTest:81 - Assertion testDeleteCompositionToPlayList passed
2021-10-10 14:42:48 INFO  UiTest:100 - follow an artist completed
2021-10-10 14:42:48 INFO  UiTest:102 - Assertion  testFollow passed
2021-10-10 14:42:55 INFO  UiTest:51 - number of PlayLists at this moment is : 3
2021-10-10 14:42:55 INFO  UiTest:53 - PlayList is created
2021-10-10 14:43:02 INFO  UiTest:56 - new number of PlayLists at this moment after creating new PL is: 4
2021-10-10 14:43:02 INFO  UiTest:57 - Assertion testCreatePlayList passed
2021-10-10 14:43:03 INFO  UiTest:109 - user logout
2021-10-10 14:43:09 INFO  UiTest:112 - site closed
